customer_id,similar_customer_id,cosine_similarity,common_products,customer_purchase_count,similar_customer_purchase_count
ae52fa61f27bd494a25bc4c101fa29d0,fa0cf5b25732a933725b83d2f716000a,1.0,2,2,2
b65b4e0ccf23f096b3eb8bce350a400a,d7c6bdf20c4ec9c9cda815dde58e778a,1.0,2,2,2
b65b4e0ccf23f096b3eb8bce350a400a,df9bd60da4a8f8945d2b862aebd3d418,1.0,2,2,2
b65b4e0ccf23f096b3eb8bce350a400a,e8fee231a8a4901e2b0b5a2324eb1405,1.0,2,2,2
b65b4e0ccf23f096b3eb8bce350a400a,fda3a3eb3370c1295a4fc3f6cd3d7604,1.0,2,2,2
d7c6bdf20c4ec9c9cda815dde58e778a,df9bd60da4a8f8945d2b862aebd3d418,1.0,2,2,2
d7c6bdf20c4ec9c9cda815dde58e778a,e8fee231a8a4901e2b0b5a2324eb1405,1.0,2,2,2
d7c6bdf20c4ec9c9cda815dde58e778a,fda3a3eb3370c1295a4fc3f6cd3d7604,1.0,2,2,2
df9bd60da4a8f8945d2b862aebd3d418,e8fee231a8a4901e2b0b5a2324eb1405,1.0,2,2,2
df9bd60da4a8f8945d2b862aebd3d418,fda3a3eb3370c1295a4fc3f6cd3d7604,1.0,2,2,2
e8569c57efe3adf347b3e92ec04d1f91,fa0cf5b25732a933725b83d2f716000a,1.0,2,2,2
e8fee231a8a4901e2b0b5a2324eb1405,fda3a3eb3370c1295a4fc3f6cd3d7604,1.0,2,2,2
06f289b98b5b10b7d7692548624cb616,1803287d1e7138aec6ea9d3c963ed87d,1.0,2,2,2
06f289b98b5b10b7d7692548624cb616,39ae2ab725be4a0db66896735a49dac7,1.0,2,2,2
06f289b98b5b10b7d7692548624cb616,70755e5b9df5988f592f3dec6279f1be,1.0,2,2,2
06f289b98b5b10b7d7692548624cb616,75bbb6b481a1df1689bb769e63ec3acb,1.0,2,2,2
06f289b98b5b10b7d7692548624cb616,78c5f76b60a3a2588635aadc70e34df7,1.0,2,2,2
06f289b98b5b10b7d7692548624cb616,8ef9add628931053f28350c0ad4bc7f7,1.0,2,2,2
06f289b98b5b10b7d7692548624cb616,92fc4892f11581ee802e8e2fa4296433,1.0,2,2,2
06f289b98b5b10b7d7692548624cb616,e0ec2e3c3f6e06839e8fb986be65c7c5,1.0,2,2,2
06f289b98b5b10b7d7692548624cb616,e5b6fb6c5e7e4adc25a5e400c0104508,1.0,2,2,2
06f289b98b5b10b7d7692548624cb616,e89bab624ed1d8c75012bf52bacc654c,1.0,2,2,2
06f289b98b5b10b7d7692548624cb616,ec99f30f38afadbfbae32d5883734ded,1.0,2,2,2
06f289b98b5b10b7d7692548624cb616,ee9d97a7d28183a3d93aefb807e48524,1.0,2,2,2
06f289b98b5b10b7d7692548624cb616,eed42da7ee2f3ce26ab52758e63d855f,1.0,2,2,2
06f289b98b5b10b7d7692548624cb616,ef3e32f1b8658891add797672f995cc5,1.0,2,2,2
06f289b98b5b10b7d7692548624cb616,fb5e89c121d9569d1a58e0afb54da971,1.0,2,2,2
1803287d1e7138aec6ea9d3c963ed87d,39ae2ab725be4a0db66896735a49dac7,1.0,2,2,2
1803287d1e7138aec6ea9d3c963ed87d,70755e5b9df5988f592f3dec6279f1be,1.0,2,2,2
1803287d1e7138aec6ea9d3c963ed87d,75bbb6b481a1df1689bb769e63ec3acb,1.0,2,2,2
